brand,product_code,model_number,source,status,advertised_price,list_price,availability,seller_name_raw,fetch_method,model_match,observed_at,html_sha256,screenshot_sha256,error,url
Apple,APL-P06,MD3Y4LL/A,walmart_us,ok,442,,in_stock,Datavision Computer Video,http,true,2026-09-23T10:27:43.879Z,b2946ab7e5f05149482f472157ca58c84ecc986ee7019c76dfe23533b184226b,103f7b7b9c9ee8007f0b0122d5b8f30f767dc2b9267af62fd1f26ffee84a9767,,https://www.walmart.com/ip/15483805722
Apple,APL-P07,MH304LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:30:12.644Z,83fddbf3a3f26ccf7224922d8fa6f087e923682596052775db1786dd2ceb0428,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GQVPX1PJ
Apple,APL-P07,MH304LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:31:24.057Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-11-inch-ipad-air-m4-chip-wi-fi-128gb-space-gray/JJGCQYCTW2/sku/6586895
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-11-inch-ipad-air-m4-chip-wi-fi-128gb-space-gray/JJGCQYCTW2/sku/6586895"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-11-inch-ipad-air-m4-chip-wi-fi-128gb-space-gray/JJGCQYCTW2/sku/6586895
Apple,APL-P07,MH304LL/A,walmart_us,ok,749,,in_stock,Walmart.com,http,true,2026-09-23T10:28:03.591Z,312017cd68db7c6ef28d9f824006596a2904883e99260bd31348981dc9675a29,8832b3840b7de16b5d9dd69fe7e7dfd9d6a317095ead2a4092159c332f659dcf,,https://www.walmart.com/ip/19671620550
Apple,APL-P08,MDHE4LL/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:30:46.691Z,fe8d43facb4301358dd97a1e3d99e52de37b14a333ba438fccdd32c3afb581c0,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200, no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GR1JTFP8
Apple,APL-P08,MDHE4LL/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:32:09.664Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-macbook-air-13-inch-laptop-m5-chip-with-10-core-cpu-and-8-core-gpu-16gb-memory-512gb-ssd-midnight/JJGCQLKXL7
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-macbook-air-13-inch-laptop-m5-chip-with-10-core-cpu-and-8-core-gpu-16gb-memory-512gb-ssd-midnight/JJGCQLKXL7"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-macbook-air-13-inch-laptop-m5-chip-with-10-core-cpu-and-8-core-gpu-16gb-memory-512gb-ssd-midnight/JJGCQLKXL7
Apple,APL-P08,MDHE4LL/A,walmart_us,ok,1236.69,,in_stock,Datavision Computer Video,http,true,2026-09-23T10:28:21.887Z,1ddc8bff839ccadbe019f8d4f4c41755f7509c274dd5af53b77f09490c965a4c,5f4e2f3c3689c0b6e550d8116bb8236feff224651fc0d8eb32267b188f986c48,,https://www.walmart.com/ip/19683558480
Apple,APL-P09,MX2D3AM/A,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:31:23.002Z,c6996cc291d6c3373e1851c8f89785774dcc0ef8074035f2fde649470ee409c7,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0D3J71RM7
Apple,APL-P09,MX2D3AM/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:32:55.077Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-pencil-pro-white/JJGCQ35H4Q
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-pencil-pro-white/JJGCQ35H4Q"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-pencil-pro-white/JJGCQ35H4Q
Apple,APL-P09,MX2D3AM/A,walmart_us,ok,99,129,in_stock,Walmart.com,http,true,2026-09-23T10:28:40.070Z,4cc0b06b9eb52789793d33610029c6bfbcae758dad7e3e2e76481e38e9d3aa28,056cc0b1e9e0b641dcf27132bcf6e4d6cc5862fd0fa0fc8df64cc4d94b6b222d,,https://www.walmart.com/ip/5762417070
